id,iess_code,job_worker,ocupational_structure,detail_job,wage
ec_101011301124,101011301124,LIMPIEZA EMPACADORA ,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA OCUPACIÓN POR CAJA ,10.5646
ec_101011301125,101011301125,SUBFOLIAR,D2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO HA,2.1927
ec_101011301126,101011301126,ROZA BANANERA,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO HA,25.3421
ec_101011301127,101011301127,CONTROL FITOSANITARIO Y CONTROL HERBICIDA,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO HA,4.1692
ec_101011301128,101011301128,FERTILIZACIÓN,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO HA,4.11
ec_101011301129,101011301129,ASPERSIÓN PORTÁTIL,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO HA,1.8956
ec_101011301130,101011301130,FERTIRRIEGO,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO HA,1.2843
ec_101011301131,101011301131,LIMPIEZA Y MANTENIMIENTO,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO POR MT LÍNEAL,0.0739
ec_101011301132,101011301132,DRENAJE EMBANQUE DE CANAL DE DRENAJE EROSIÓN,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO POR MT LÍNEAL,0.0724
ec_101011301133,101011301133,ASPERSIÓN INCLUYE PORTÁTIL,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO HA,1.8969
ec_101011301134,101011301134,CANALES,E2,TRABAJADORES QUE LABORAN EN EL CAMPO POR UNIDADES DE OBRA POR TARIFA O POR TAREA RIEGO POR MT LINEAL,0.0724
ec_101011301135,101011301135,CAJA DE 22/U - P-CKRAFF/E,E2,TRABAJADORES QUE REALIZAN LABORES EN LAS EMPACADORAS EN CADA EMBARQUE CLASIFICADOS DE LA SIGUIENTE MANERA DESMANADOR DESFLORADOR SANEADOR LAVADOR PESADOR FUMIGADOR EMBALADOR TAPADOR ESTIBADOR ETIQUETERO PALETIZADOR APARADOR SACADOR DE AIRE SACADOR DE CAJA PESADOR DE CAJAS LLENAPLATOS A ESTOS TRABAJADORES DE ACUERDO AL TIPO DE CAJA QUE SE EMPAQUE ,0.2671
ec_101011301136,101011301136,CAJA DE 22/U PALETIZADO BAG,E2,TRABAJADORES QUE REALIZAN LABORES EN LAS EMPACADORAS EN CADA EMBARQUE CLASIFICADOS DE LA SIGUIENTE MANERA DESMANADOR DESFLORADOR SANEADOR LAVADOR PESADOR FUMIGADOR EMBALADOR TAPADOR ESTIBADOR ETIQUETERO PALETIZADOR APARADOR SACADOR DE AIRE SACADOR DE CAJA PESADOR DE CAJAS LLENAPLATOS A ESTOS TRABAJADORES DE ACUERDO AL TIPO DE CAJA QUE SE EMPAQUE ,0.25
ec_101011301137,101011301137,CAJA DE 22/U DE 19 KILOS GRANDE,E2,TRABAJADORES QUE REALIZAN LABORES EN LAS EMPACADORAS EN CADA EMBARQUE CLASIFICADOS DE LA SIGUIENTE MANERA DESMANADOR DESFLORADOR SANEADOR LAVADOR PESADOR FUMIGADOR EMBALADOR TAPADOR ESTIBADOR ETIQUETERO PALETIZADOR APARADOR SACADOR DE AIRE SACADOR DE CAJA PESADOR DE CAJAS LLENAPLATOS A ESTOS TRABAJADORES DE ACUERDO AL TIPO DE CAJA QUE SE EMPAQUE ,0.2266
ec_101011301138,101011301138,CAJA 115K DE 17 KILOS MEDIANA CUALQUIER EMPAQUE,E2,TRABAJADORES QUE REALIZAN LABORES EN LAS EMPACADORAS EN CADA EMBARQUE CLASIFICADOS DE LA SIGUIENTE MANERA DESMANADOR DESFLORADOR SANEADOR LAVADOR PESADOR FUMIGADOR EMBALADOR TAPADOR ESTIBADOR ETIQUETERO PALETIZADOR APARADOR SACADOR DE AIRE SACADOR DE CAJA PESADOR DE CAJAS LLENAPLATOS A ESTOS TRABAJADORES DE ACUERDO AL TIPO DE CAJA QUE SE EMPAQUE ,0.1923
ec_101011301139,101011301139,CAJA NUM 208 Y NUM 2527 DE 13 KILOS CHICA CUALQUIER EMPAQUE,E2,TRABAJADORES QUE REALIZAN LABORES EN LAS EMPACADORAS EN CADA EMBARQUE CLASIFICADOS DE LA SIGUIENTE MANERA DESMANADOR DESFLORADOR SANEADOR LAVADOR PESADOR FUMIGADOR EMBALADOR TAPADOR ESTIBADOR ETIQUETERO PALETIZADOR APARADOR SACADOR DE AIRE SACADOR DE CAJA PESADOR DE CAJAS LLENAPLATOS A ESTOS TRABAJADORES DE ACUERDO AL TIPO DE CAJA QUE SE EMPAQUE ,0.1687
ec_120000000002,120000000002,DESHIJE ESCOGER CUAL SERÁ LA SIGUIENTE PLANTA DENTRO DEL CULTIVO,E2,,1.6879
ec_101011113140,101011113140,EMPACADOR,E2,Por paca 125 Kg. (POR 8 PACAS POR DIA POR 30 DÍAS LABORABLES),1.8365
ec_101011113141,101011113141,TUCSERO ,E2,Por tongo sectorial 6 tallos ( 15 TONGOS DIARIOS POR 30 DÍAS LABORABLES),1.152
ec_101011113142,101011113142,MAQUINISTA ,D2,Por tongo sectorial 6 tallos ( 31 TONGOS DIARIOS POR 30 DÍAS LABORABLES),0.5588
ec_101011113143,101011113143,SUNQUERO  ,E2,Por tongo sectorial 6 tallos ( 50 TONGOS DIARIOS POR 30 DÍAS LABORABLES),0.4006
ec_101011113144,101011113144,TALLERO ,E2,Por tongo sectorial 6 tallos ( 50 TONGOS DIARIOS POR 30 DÍAS LABORABLES),0.4006
ec_101011113145,101011113145,ACARREADOR DE FIBRA (BURRERO) ,E2,Por tongo sectorial 6 tallos ( 50 TONGOS DIARIOS POR 30 DÍAS LABORABLES),0.3172
ec_101011113146,101011113146,TENDALERO ,E2,Por tongo sectorial 6 tallos ( 50 TONGOS DIARIOS POR 30 DÍAS LABORABLES),0.3172
ec_101011113147,101011113147,TRABAJADOR DEL AGRO DESMONTAJE PREPARACIÓN DE SUELOS CHAPIA SIEMBRA MANTENIMIENTO EN GENERAL CORONA CONTROL FITOSANITARIO PODA Y OTRAS LABORES CULTURALES,E2,,12.521
ec_109630100039,109630100039,ASOLEO EN TERRAZA QUE COMPRENDE SUBIDA  MECANIZADA ASOLEO GUARDADA MECANIZADA,E2,CACAO (CADA QUINTAL),0.0496
ec_109630100063,109630100063,ASOLEO EN TERRAZAS A FUERZA DE SANGRE  QUE COMPRENDE SUBIDA Y GUARDADA CON BAJADA,E2,CACAO (CADA QUINTAL),0.0919
ec_109630100033,109630100033,ASOLEO EN TERRAZAS A FUERZA DE SANGRE QUE COMPRENDE SUBIDA ASOLEO Y GUARDADA CON BAJADA,E2,CACAO (CADA QUINTAL),0.0949
ec_109630100020,109630100020,CATADA DE CACAO BUENO (CLASIFICACIÓN DE GRANOS),D2,CACAO (CADA QUINTAL),0.0741
ec_109630100023,109630100023,CATADA DE CACAO NEGRO (CLASIFICACIÓN DE GRANOS),D2,CACAO (CADA QUINTAL),0.0585
ec_109630100018,109630100018,CATADA DE TIERRA DE CACAO NEGRO,D2,CACAO (CADA QUINTAL),0.1808
ec_109630100041,109630100041,CERNIDA,E2,CACAO (CADA QUINTAL),0.0446
ec_109630100053,109630100053,COLOCACIÓN DE UN SACO LLENO A OTRO VACÍO,E2,CACAO (CADA QUINTAL),0.0163
ec_109630100032,109630100032,DESPELOTADA DE CACAO NEGRO O DESPICADO (DESMAGUEYADA),E2,CACAO (CADA QUINTAL),0.0987
ec_109630100040,109630100040,DESPICADO DE PELOTAS CON CACAO BUENO INCLUYE PODA SANITARIA,E2,CACAO (CADA QUINTAL),0.0488
ec_109630100030,109630100030,ENCHAROLADA SOLA,E2,CACAO (CADA QUINTAL),0.124
ec_109630100034,109630100034,ESCOGIDA DE CACAO (TRABAJO DE MUJERES) CADA LIBRA,E2,CACAO (CADA QUINTAL),0.0709
ec_109630100062,109630100062,ESCOGIDA DE CAFÉ (TRABAJO DE MUJER) POR LIBRA,E2,CACAO (CADA QUINTAL),0.1728
ec_109630100027,109630100027,GUARDADA DE ASOLEO (DOS DÍAS),E2,CACAO (CADA QUINTAL),0.0267
ec_109630100059,109630100059,GUARDADA DE ASOLEO (UN DÍA),E2,CACAO (CADA QUINTAL),0.026
ec_109630100060,109630100060,LAVADA (DOS DÍAS),E2,CACAO (CADA QUINTAL),0.1387
ec_109630100055,109630100055,LLENADA PARA INVENTARIO ASOLEO O PARADA,E2,CACAO (CADA QUINTAL),0.0145
ec_109630100022,109630100022,MAQUINADA DE CACAO CADA QUINTAL,E2,CACAO (CADA QUINTAL),0.0686
ec_109630100019,109630100019,MAQUINADA DE GRANZAS,E2,CACAO (CADA QUINTAL),0.1782
ec_109630100025,109630100025,MAQUINADA DE PELOTAS,E2,CACAO (CADA QUINTAL),0.0577
ec_109630100056,109630100056,PALEADA ABIERTA,E2,CACAO (CADA QUINTAL),0.0145
ec_109630100057,109630100057,PALEADA CERRADA,E2,CACAO (CADA QUINTAL),0.0145
ec_109630100045,109630100045,PARADA,E2,CACAO (CADA QUINTAL),0.0272
ec_109630100058,109630100058,PARADA DE MONTÓN,E2,CACAO (CADA QUINTAL),0.0092
ec_109630100051,109630100051,PASADA DE UNA BODEGA A OTRA SIN PESADA,E2,CACAO (CADA QUINTAL),0.0252
ec_109630100050,109630100050,PESADA CON SACADO AL TENDAL,E2,CACAO (CADA QUINTAL),0.0253
ec_109630100052,109630100052,PESADA Y VACIADA DE OTRAS CUADRILLAS,E2,CACAO (CADA QUINTAL),0.0204
ec_109630100064,109630100064,PESADA Y VACIADA DE TRAÍDA DE OTRAS CUADRILLAS,E2,CACAO (CADA QUINTAL),0.0667
ec_109630100046,109630100046,PESADA Y VACIADA EN BODEGA O PATIO EN EL MISMO DÍA,E2,CACAO (CADA QUINTAL),0.0267
ec_109630100042,109630100042,REPRESADA POR CADA QUINTAL,E2,CACAO (CADA QUINTAL),0.0446
ec_109630100047,109630100047,REVUELTA,E2,CACAO (CADA QUINTAL),0.0267
ec_109630100048,109630100048,SACADA DE LA BODEGA A LA MANTA PARA ASOLEO EN LA CALLE,E2,CACAO (CADA QUINTAL),0.0267
ec_109630100036,109630100036,SARANDEO DE CACAO BUENO,E2,CACAO (CADA QUINTAL),0.0577
ec_109630100038,109630100038,TRAÍDA O PASADA DE UNA OFICINA A OTRA,E2,CACAO (CADA QUINTAL),0.0541
ec_109630100061,109630100061,TRAÍDA Y PESADA DE PILADORA,E2,CACAO (CADA QUINTAL),0.1822
ec_109630100044,109630100044,VACIADA A LA TOLVA (INCLUYE VACIADA CON DESCOSIDA DEL CAMIÓN DIRECTO A LA TOLVA SIN SALTAR EN EMPRESA CON SISTEMA MECANIZADO),E2,CACAO (CADA QUINTAL),0.0286
ec_109630100037,109630100037,VACIADA A LA TOLVA POR LA CUADRILLA,E2,CACAO (CADA QUINTAL),0.0577
ec_109630100049,109630100049,VACIADA DE CACAO ENSACADO A LA TOLVA,E2,CACAO (CADA QUINTAL),0.0267
ec_109630100054,109630100054,VACIADA DE UN SACO A OTRO,E2,CACAO (CADA QUINTAL),0.0163
ec_109630100068,109630100068,PARADA,E2,CAFÉ (CADA QUINTAL),0.0268
ec_109630100070,109630100070,PASADA SOLA DE TRAÍDA DE OTRAS CUADRILLAS,E2,CAFÉ (CADA QUINTAL),0.026
ec_109630100071,109630100071,PESADA O VACIADA EN BODEGA O PATIO EN EL MISMO DÍA,E2,CAFÉ (CADA QUINTAL),0.026
ec_109630100074,109630100074,LLENADA PARA INVENTARIO ASOLEO O PARADA,E2,CAFÉ (CADA QUINTAL),0.0256
ec_109630100075,109630100075,PASADA DE UNA BODEGA A OTRA SIN PESADA  AL GRANEL,E2,CAFÉ (CADA QUINTAL),0.0256
ec_109630100076,109630100076,PALEADA ABIERTA,E2,CAFÉ (CADA QUINTAL),0.0144
ec_109630100077,109630100077,VACIADA DE UN SACO A OTRO,E2,CAFÉ (CADA QUINTAL),0.0131
ec_109630100084,109630100084,MAQUINADA DE CAFÉ,E2,MAQUINADA DE CAFÉ (POR QUINTAL),0.0652
ec_109630100086,109630100086,CATADA DE CAFÉ,D2,MAQUINADA DE CAFÉ (POR QUINTAL),0.0548
ec_109630100087,109630100087,VACIADA A LA TOLVA (INCLUYE VACIADA CON DESCOSIDA DEL CAMIÓN DIRECTO A LA TOLVA SIN SALTADA EN EMPRESA CON SISTEMA MECANIZADO),E2,MAQUINADA DE CAFÉ (POR QUINTAL),0.0277
ec_109630100088,109630100088,VACIADA DE CAFÉ ENSACADA A LA TOLVA,E2,MAQUINADA DE CAFÉ (POR QUINTAL),0.026
ec_109630100001,109630100001,TRAÍDA O PASADA DE UNA OFICINA A OTRA,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.0604
ec_109630100002,109630100002,PARADA,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.0488
ec_109630100003,109630100003,CERNIDA,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.0466
ec_109630100004,109630100004,COLOCACIÓN DE UN SACO VACÍO A OTRO LLENO,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.0446
ec_109630100006,109630100006,SACADA Y GUARDADA A LA MANTA PARA ASOLEO O REVUELTA,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.0313
ec_109630100007,109630100007,PESADA O VACIADA EN UNA BODEGA O PATIO  EN EL MISMO DÍA,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.0291
ec_109630100008,109630100008,PASADA DE UNA BODEGA A OTRA AL GRANEL,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.0286
ec_109630100009,109630100009,LLENADA PARA INVENTARIO ASOLEO O PARADA,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.018
ec_109630100010,109630100010,VACIADA DE UN SACO A OTRO,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.018
ec_109630100011,109630100011,PALEADA ABIERTA,E2,ACHIOTE PIMIENTA MOLE (CADA QUINTAL),0.0134
ec_109630100014,109630100014,PESADA Y VACIADA EN BODEGA A PATIO EN EL MISMO DÍA,E2,ALGODÓN Y LANA (POR QUINTAL),0.0919
ec_109630100015,109630100015,CONDUCCIÓN A LA DESMONTADORA Y VACIADA,E2,ALGODÓN Y LANA (POR QUINTAL),0.0577
ec_109630100016,109630100016,LLENADA PARA INVENTARIOS ASOLEO O PARADA,E2,ALGODÓN Y LANA (POR QUINTAL),0.0313
ec_109630100078,109630100078,LIMPIADA,E2,CASCARILLA CONDURANGO Y CANELOS (CADA QUINTAL),0.0934
ec_109630100079,109630100079,CLASIFICACIÓN,E2,CASCARILLA CONDURANGO Y CANELOS (CADA QUINTAL),0.0577
ec_109630100080,109630100080,SACADA O GUARDADA PARA ASOLEO,E2,CASCARILLA CONDURANGO Y CANELOS (CADA QUINTAL),0.0488
ec_109630100082,109630100082,PESADA Y VACIADA EN BODEGA O PATIO EN EL MISMO DÍA,E2,CASCARILLA CONDURANGO Y CANELOS (CADA QUINTAL),0.031
ec_109630100090,109630100090,COSIDA O DESCOSIDA DE SACOS DE CAFÉ CACAO Y ACHIOTE A MANO O CON MOTORIZADA EL CIENTO,E2,MARCADA DE SACOS (POR CADA 100),0.8782
ec_109630100092,109630100092,REMARCADA,E2,MARCADA DE SACOS (POR CADA 100),0.4425
ec_109630100093,109630100093,SEÑALEROS EL CIENTO,E2,MARCADA DE SACOS (POR CADA 100),0.1189
ec_109630100094,109630100094,LIMPIADORA O SANEADORA (LIMPIADA O SANEADA DE SACOS) DE EMPAQUE PARA CADA CIENTO,E2,OTROS,0.4866
ec_109630100095,109630100095,ESCOGEDORAS PARA TODA LABOR,E2,OTROS,0.148
ec_109630100096,109630100096,IZADA O ARREGLADA DE MANTAS O TOLDOS PARA SOMBRA DE CADA UNA,E2,OTROS,0.0884
ec_109630100097,109630100097,SACADA O GUARDADA DE MANTAS CUANDO NO HAYA ASOLEO,E2,OTROS,0.0883
ec_109630100100,109630100100,MANTEROS HASTA 50 SACOS,E2,OTROS DIVERSOS TRABAJOS,1.7689
ec_109630100101,109630100101,TRAÍDA O PASADA DE UNA OFICINA A OTRA,E2,PALMA REAL E HIGUERILLA (POR QUINTAL),0.0577
ec_109630100102,109630100102,PESADA O VACIADA EN BODEGA O PATIO EN EL MISMO DÍA,E2,PALMA REAL E HIGUERILLA (POR QUINTAL),0.0291
ec_109630100103,109630100103,SACADA O GUARDADA DE UNA BODEGA A LA MANTA PARA ASOLEO O REVUELTA,E2,PALMA REAL E HIGUERILLA (POR QUINTAL),0.0267
ec_109630100105,109630100105,VACIADA DE UN SACO A OTRO,E2,PALMA REAL E HIGUERILLA (POR QUINTAL),0.018
ec_109630100107,109630100107,PARADA,E2,TAGUA (POR QUINTAL),0.0488
ec_109630100109,109630100109,PESADA O VACIADA EN BODEGA O PATIO EN EL MISMO DÍA,E2,TAGUA (POR QUINTAL),0.026
ec_109630100110,109630100110,SACADA PARA ASOLEO O REVUELTA AL TENDAL,E2,TAGUA (POR QUINTAL),0.0247
ec_109630100111,109630100111,VACIADA DE UN SACO A OTRO,E2,TAGUA (POR QUINTAL),0.018
ec_120000000003,120000000003,TRABAJADOR DEL AGRO TODAS LAS LABORES INHERENTES A LOS TEMAS DE AGRICULTURA (CICLO CORTO MEDIO Y LARGO PARA LA EXPORTACIÓN Y CONSUMO INTERNO) PASTURA ESTABLECIMIENTO Y MANEJO DE PLANTACIONES FORESTALES Y FRUTÍCOLAS Y OTRAS LABORES CULTURALES,E2,,11.5428
ec_101011311002,101011311002,MAYORDOMO,C2,,468.05
ec_101011311001,101011311001,MAQUINISTAS CLASIFICADORES VIBRADORA SECADORES MONTACARGUISTA MANTERO,D2,OCUPACIONES,463.91
ec_101011112039,101011112039,SUPERVISOR DE LA PLANTACIÓN,B1,ÁREA DE PLANTACIÓN,473.56
ec_101011112042,101011112042,SUPERVISOR DE MANTENIMIENTO,D1,ÁREA DE MANTENIMIENTO - PALMA AFRICANA,465.29
ec_101011112052,101011112052,TRABAJADOR DEL AGRO CORTE Y RECOLECCIÓN DE RACIMOS CORONA QUÍMICA APLICACIÓN DE MATERIA ORGÁNICA CHAPIA CORONA MANUAL - MECÁNICA PODA APLICACIÓN FERTILIZANTES LIMPIEZA DE LINDEROS -  DRENAJES MANTENIMIENTO PLANTAS NECTARÍFERAS CONTROLES FITOSANITARIOS CIRUGÍA PLANTAS ERRADICACIÓN PALMAS ASPERSOR MANUAL POLINIZACIÓN Y VERIFICACIÓN DE INFLORESCENCIA MANEJO Y MANTENIMIENTO DE VIVEROS Y OTRAS LABORES CULTURALES.,E2,ÁREA DE PLANTACIÓN,461.62
ec_101011210065,101011210065,SUPERVISOR DE RIEGO,B1,ÁREA DE RIEGO,473.56
ec_101011210067,101011210067,JEFE DE POSTCOSECHA,B2,ÁREA DE POSTCOSECHA,472.18
ec_101011210070,101011210070,OPERADOR DE RIEGO,C3,ÁREA DE RIEGO,466.67
ec_101011210073,101011210073,SUPERVISOR DE POSTCOSECHA,D1,ÁREA DE POSTCOSECHA,465.29
ec_101011210074,101011210074,SUPERVISOR DE CULTIVO,D1,ÁREA DE CULTIVO,465.29
ec_101011210075,101011210075,SUPERVISOR DE MANTENIMIENTO,D1,ÁREA DE MANTENIMIENTO - FLORES NATURALES,465.29
ec_204151101001,204151101001,SUPERVISOR DE PRODUCCIÓN / MANTENIMIENTO,B1,INCLUYE ADMINISTRADOR DE GRANJA JEFE DE GRANJAS,485.04
ec_204151101002,204151101002,TÉCNICO DE PRODUCCIÓN / MANTENIMIENTO,C1,PRODUCCIÓN PECUARIA,482.74
ec_204151101003,204151101003,OPERADOR ESPECIAL,C2,PRODUCCIÓN PECUARIA,480.22
ec_204151101006,204151101006,AUXILIAR DE PRODUCCIÓN / MANTENIMIENTO,D2,INCLUYE EL ASISTENTE DE PLANTA,474.48
ec_204151101007,204151101007,GALPONERO DE GRANJA,E2,,468.74
ec_220000000001,220000000001,CLASIFICADOR DE HUEVOS,E2,,468.74
ec_220000000002,220000000002,AUXILIAR DE LÁCTEOS,E2,INCLUYE ASISTENTE DE ORDEÑO ORDEÑADOR OPERARIO DE LECHE RECIBIDOR / RECOLECTOR DE LECHE,468.74
ec_220000000003,220000000003,AUXILIAR/ AYUDANTE / ASISTENTE DE GANADERÍA ,E2,INCLUYE VAQUERO AYUDANTE DE ESTABLO ESTERCOLERO CORRALERO ESTABLERO MONTADOR,468.74
ec_220000000004,220000000004,OPERATIVO DE PLANTA,E2,PRODUCCIÓN PECUARIA,468.74
ec_120000000001,120000000001,TRABAJADOR DEL AGRO INCLUYE LABORES CULTURALES,E2,,461.62
ec_101011210081,101011210081,TRABAJADOR DEL AGRO CLASIFICADOR CORTADOR DE TALLOS EMBONCHADOR MALLERO PATINADOR PEGADOR DE ETIQUETAS ARMADOR DE EMBARQUE COCHERO COSECHADOR RIEGO DE DUCHA CAMBIO DE PLÁSTICO COMPOSTERA CORTADOR DE CÉSPED LEVANTAMIENTO DE CAMAS EMPACADOR LIMPIEZA INTERIOR Y EXTERIOR FUMIGADOR PINCHADO Y DESYEME Y OTRAS LABORES CULTURALES.,E2,ÁREA DE POSTCOSECHA,461.62
ec_101011310029,101011310029,TRABAJADOR DEL AGRO TUMBA DE CACAO UNTADA DE CACAO DESVENADA O SACADA DEL  CACAO SECADA EN EL TENDAL SOCOLA DESCHUPADA SIEMBRA Y RESIEMBRA FUMIGADOR COSECHADOR ROSADOR DE MANGA PODADOR NIVELADOR DE ESTAQUILLA PARA SIEMBRA Y TENDALERO,E2,,461.62
ec_101011311031,101011311031,TRABAJADOR FITOSANITARIO,E2,,461.62
ec_101011311032,101011311032,TRABAJADOR DEL AGRO SEMILLISTA SEMBRADOR COSECHADOR RECOGEDOR TRANSPLANTADOR PODADOR Y OTRAS LABORES CULTURALES,E2,,461.62
ec_101020010006,101020010006,JEFE FORESTAL,B1,ÁREA DE MANEJO FORESTAL,473.56
ec_101020010008,101020010008,JEFE DE OPERACIÓN,B2,ÁREA DE APROVECHAMIENTO,472.18
ec_101020010011,101020010011,JEFE MANTENIMIENTO,C1,ÁREA DE MANTENIMIENTO,469.43
ec_101020010012,101020010012,OPERADOR DE MÁQUINA,C1,ÁREA DE APROVECHAMIENTO,469.43
ec_101020010013,101020010013,JEFE DE CAMPO,C2,ÁREA DE MANEJO FORESTAL,468.05
ec_101020010015,101020010015,VIVERISTA AGROFORESTAL,C2,ÁREA DE MANEJO FORESTAL,468.05
ec_101020010016,101020010016,OPERADOR DE MOTOSIERRA,C2,ÁREA DE APROVECHAMIENTO,468.05
ec_101020010023,101020010023,JEFE DE CAMPAMENTO,E1,ÁREA DE APROVECHAMIENTO,462.54
ec_101020010024,101020010024,AUXILIAR DE MANTENIMIENTO,E2,ÁREA DE MANTENIMIENTO,461.62
ec_101020010025,101020010025,TRABAJADOR DEL AGRO,E2,ÁREA DE MANEJO FORESTAL,461.62
ec_101020010026,101020010026,MATERO,E2,ÁREA DE MANEJO FORESTAL,461.62
ec_101020010027,101020010027,AUXILIAR DE OPERADOR,E2,ÁREA DE APROVECHAMIENTO,461.62
ec_720000001001,720000001001,OPERADOR DE MÁQUINAS DE CULTIVO DE TABACO ,D2,,463.91
ec_720000001002,720000001002,TRABAJADOR DEL AGRO PREPARACIÓN MANUAL DE TERRENO VIVERISTA REPLANTE FERTILIZACIÓN FUMIGACIÓN APORQUES LIBRE PIE COSECHA RIEGO COCIDO CURADO ELEVADOR DE CUJES ZAFADA - EMPAQUE FERMENTACIÓN Y OTRAS LABORES CULTURALES,E2,,461.62
ec_302050003028,302050003028,JEFES ACUACULTORES O ACUÍCOLAS,B1,,481.33
ec_304151200001,304151200001,JEFE DE FLOTA,B2,,479.48
ec_304151200004,304151200004,SUPERVISOR ,B2,PESCA ACUACULTURA Y MARICULTURA,479.48
ec_304151200005,304151200005,LABORATORISTA,C1,PESCA ACUACULTURA Y MARICULTURA,475.81
ec_302050003029,302050003029,BIÓLOGO ACUACULTOR,C1,INCLUYE BIÓLOGO DE CAMPO,475.81
ec_302050003031,302050003031,TÉCNICOS ACUACULTORES,C1,INCLUYE TRATADOR DE PISCINA ACUÍCOLA,475.81
ec_304151200012,304151200012,ASISTENTE DE SUPERVISOR,D2,PESCA ACUACULTURA Y MARICULTURA,466.76
ec_304151200013,304151200013,AUXILIAR DE LABORATORIO,D2,PESCA ACUACULTURA Y MARICULTURA,466.76
ec_302050003033,302050003033,ASISTENTE DE BIÓLOGO ACUÍCOLA,D2,,466.76
ec_302050003036,302050003036,TRABAJADOR ACUÍCOLA ,E2,,466.44
